iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","GITHUB Public API","Base Url :https://cat-fact.herokuapp.com","GET","https://cat-fact.herokuapp.com",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Get some facts Retrieve one or more Facts.","GET","https://cat-fact.herokuapp.com/facts/random",,,,,,"Verify the status code 200",,"1","0","1","0"
"1","GITHUB Public API","Get some facts Retrieve one or more Facts. Type of animal the fact will describe.Number of Facts to retrieve. If set to one, response will be a fact object. If many, response will be an array of Facts.","GET","https://cat-fact.herokuapp.com/facts/random?animal_type=cat&amount=100",,,,,,"Verify the status code 200",,"1","0","1","0"
"1","GITHUB Public API","Get some facts Retrieve one or more Facts. limit wille be more","GET","https://cat-fact.herokuapp.com/facts/random?animal_type=cat&amount=501",,,,,,"Verify the status code 405",,"1","0","1","0"
"1","GITHUB Public API","Get fact by its ID Retrieve fact by its ID.","GET","https://cat-fact.herokuapp.com/facts/591f98803b90f7150a19c229",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","New Request","GET","",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","This server could not verify that you are authorized to access the document requested. Either you supplied the wrong credentials (e.g., bad password), or your browser doesn't understand how to supply.the credentials required.","GET","https://www.adoptapet.com/public/apis/pet_list.html",,,,,,"Verify the unauthorized statuscode 401",,"1","0","1","0"
"1","GITHUB Public API","Return all the cat tag","GET","https://cataas.com/api/tags",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Count how many cat","GET","https://cataas.com/api/count",,,,,,"Status code is 200, Count is 1987",,"2","0","2","0"
"1","GITHUB Public API","Get random cat by tag saying text","GET","https://cataas.com/cat/sssssss/says/hello?position=center&font=Impact&fontSize=50&fontColor=%23fff&fontBackground=none",,,,,,"Response time is less than 500ms, Status code is 200, Content-Type is image/jpeg, Response body is not empty, Response size is below 100 KB",,"5","0","5","0"
"1","GITHUB Public API","Get cat by id","GET","https://cataas.com/cat/33",,,,,,"Response time is less than 500ms",,"1","0","1","0"
"1","GITHUB Public API","Will return all cats","GET","",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Will return a random cat with a :tag, You can combine multiple tags with :tag separator","GET","https://cataas.com/cat/33",,,,,,"Status code is 200, Content-Type is image/jpeg",,"2","0","2","0"
"1","GITHUB Public API","Get random cat saying text","GET","https://cataas.com/cat/says/hi?position=center&font=Impact&fontSize=80&fontColor=%23ff&fontBackground=Bue",,,,,,"Status code is 200, Content-Type is image/jpeg, Response body is not empty",,"3","0","3","0"
"1","GITHUB Public API","Will return a random cat","GET","https://cataas.com/cat",,,,,,"Status code is 200",,"1","0","1","0"
"1","GITHUB Public API","Get cat by id saying text","GET","https://cataas.com/cat/33/says/44?position=center&font=Impact&fontSize=50&fontColor=%23fff&fontBackground=none",,,,,,"Response time is less than 500ms, Status code is 200, Content-Type is image/jpeg, Response body is not empty, Response size is below 100 KB",,"5","0","5","0"
"1","GITHUB Public API",":text: Replace this with the text that you want the cat to ""say"" in the speech bubble. fontSize=:size: Specify the font size of the text. For example, fontSize=20 will make the text 20px in size. fontColor=:color: Specify the color of the text. For exampl","GET","https://cataas.com/cat/says/hello?fontSize=50&fontColor=white",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","Will return a random cat with image :type (xsmall, small, medium or square)","GET","",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","400 bad request .Will return a random cat with image :type (xsmall, small, medium or square)","GET","https://cataas.com/cat?type=sqaure",,,,,,"Status code is 400",,"1","0","1","0"
"1","GITHUB Public API","Will return a random cat with image filtered by :filter (blur, mono, negate or custom)","GET","",,,,,,,,"0","0","0","0"
"1","GITHUB Public API","400 bad request .Will return a random cat with image filtered by :filter (blur, mono, negate or custom) Copy","GET","https://cataas.com/cat?filter=mona",,,,,,"Status code is 400",,"1","0","1","0"
"1","GITHUB Public API","Will return a random cat with image filtered by :brightness, :lightness, :saturation and :hue","GET","https://cataas.com/cat?filter=mona",,,,,,"Status code is 400",,"1","0","1","0"
"1","GITHUB Public API","400 bad request .Will return a random cat with image filtered by :brightness, :lightness, :saturation and :hue Copy","GET","https://cataas.com/cat?filter=mona",,,,,,"Status code is 400",,"1","0","1","0"
